,Rating,Store_address,Ave_Neg,Ave_Neu,Ave_Pos,Ave_Compound
0,1,"72-69 Kissena Blvd, Queens, NY 11367, United States",0.11620351390922394,0.5729062957540263,0.31089897510981,0.2209698389458272
1,2,"429 7th Ave, New York, NY 10001, United States",0.11956304985337239,0.5839530791788855,0.2964794721407624,0.18880938416422288
2,3,"262 Canal St, New York, NY 10013, United States",0.1350254777070064,0.584573248407643,0.2804140127388535,0.14071464968152864
3,4,"702-2 Haddonfield-Berlin Rd, Voorhees Township, NJ 08043, United States",0.09761119751166407,0.6223763608087092,0.27844323483670314,0.1976158631415238
4,5,"1121 Garnet Ave, San Diego, CA 92109, United States",0.11941627906976748,0.6072209302325582,0.27335116279069765,0.19169232558139515
5,6,"111 Madison St, Oak Park, IL 60302, United States",0.09985371702637887,0.6297482014388487,0.27038129496402885,0.18236570743405237
6,7,"550 Lawrence Expy, Sunnyvale, CA 94086, United States",0.11118217821782178,0.6250019801980196,0.2638198019801981,0.14816693069306927
7,8,"25200 I-10 Lot 2, San Antonio, TX 78257, United States",0.10805927835051543,0.6334355670103097,0.258507731958763,0.1681719072164948
8,9,"621 Broadway, Newark, NJ 07104, United States",0.1309866666666666,0.6193986666666653,0.2496133333333333,0.10798546666666643
9,10,"210 5th S, Salt Lake City, UT 84106, United States",0.10621669626998222,0.645184724689165,0.24862166962699825,0.16021545293072792
10,11,"10901 Riverside Dr, North Hollywood, CA 91602, United States",0.10048961937716258,0.654107266435986,0.24366782006920426,0.21201349480968806
11,12,"13749 US-183 Hwy, Austin, TX 78750, United States",0.12408219178082189,0.6333620352250482,0.24257729941291575,0.10025048923679049
12,13,"490 8th Ave, New York, NY 10001, United States",0.09498644067796605,0.6723830508474572,0.2326254237288137,0.15939016949152504
13,14,"1100 N US Hwy 377, Roanoke, TX 76262, United States",0.13594142259414224,0.6369665271966523,0.2256820083682008,0.051136401673640135
14,15,"1698 US-209, Brodheadsville, PA 18322, United States",0.10862773722627735,0.6697182481751831,0.22164671532846703,0.12857532846715303
15,16,"724 Broadway, New York, NY 10003, United States",0.11349999999999998,0.6677288135593221,0.21755690072639208,0.14435944309927343
16,17,"1540 2nd St, Santa Monica, CA 90405, United States",0.08097129186602874,0.7131244019138756,0.2059114832535886,0.3358569377990433
17,18,"160 Broadway, New York, NY 10038, United States",0.0,0.8,0.2,0.7535000000000001
18,19,"1916 M St NW, Washington, DC 20036, United States",0.09820539419087138,0.7080394190871375,0.19374896265560188,0.13014211618257243
19,20,"5920 Balboa Ave, San Diego, CA 92111, United States",0.10941207349081374,0.7004881889763783,0.19010236220472435,0.1423128608923885
20,21,"1650 Washington Ave, Miami Beach, FL 33139, United States",0.12748192771084335,0.6858481927710831,0.18666746987951804,0.07060216867469883
21,22,"501 W Imperial Hwy, Los Angeles, CA 90044, United States",0.09821848739495809,0.7166918767507003,0.18509803921568627,0.17039187675070022
22,23,"8500 US-290, Austin, TX 78724, United States",0.13810823909531497,0.6858368336025841,0.17604846526655904,-0.030699192245557536
23,24,"6875 Sand Lake Rd, Orlando, FL 32819, United States",0.060565749235474,0.7702507645259934,0.1691743119266055,0.3257198776758411
24,25,"1044 US-11, Champlain, NY 12919, United States",0.10711506849315065,0.7239698630136994,0.16891506849315063,0.0779260273972603
25,26,"2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States",0.09178571428571426,0.7405586734693879,0.1676352040816326,0.2022711734693877
26,27,"11382 US-441, Orlando, FL 32837, United States",0.09888413547237078,0.7594777183600705,0.14161675579322647,0.05120374331550808
27,28,"151 West 34th Street (Macy's 7th Floor, New York, NY 10001, United States",0.1442222222222222,0.7455999999999998,0.1101777777777778,-0.1654422222222222
28,29,"10451 Santa Monica Blvd, Los Angeles, CA 90025, United States",0.08033333333333333,0.8106666666666666,0.10866666666666668,0.2254666666666667
29,30,"690 Alameda St, Los Angeles, CA 90021, United States",0.16365057471264363,0.7277287356321843,0.10860459770114941,-0.23119241379310335
30,31,"555 13th St NW, Washington, DC 20004, United States",0.25299999999999995,0.68,0.06699999999999999,-0.2921666666666667
